Question,Answer
"Does this same antibody kind of system exist on the right at all, or is the right more open to multiple candidates just generally speaking?","No, I mean, you look at Republican debates and they are vigorous debates. There is real disagreement on the right. There are real debates on the right and there is a real working out of contested issues. The Democratic Party, by and large, is a machine. It works in lockstep. That's why what Dean Phillips is doing is so sacrilegious. I mean, he is pretty much ending his career as someone who can just move up through the ranks of the Democratic Party. Maybe this will turn out in a way where it gives him like a leapfrog, but I don't think so. I mean, I think he's basically signaling to the higher ups of the Democratic Party that he's no longer a candidate for advancement through the regular course. Got it. Yeah, one analogy is that the Democratic Party is like the empire and the Republicans are like the rebel alliance. The Republican Party is a bunch of misfits. It's a bunch of discontents. He walks. He walks. And solos. And solos or whatever. But the Democratic Party marches in lockstep."
Is because they're in lockstep?,"Yeah, they're much better fundraisers. They're more disciplined. They have their act together right now. I don't think this was always the case, but I think it's true right now. Yeah, okay. Well, we had a couple of other issues we wanted to get to. So I think we can wrap there. Great job, everybody. That was spectacular. Great job getting the candidate. Chimah, thank you for that. All right, we have to touch on what happened this week with the US and China relations. Everybody knows Xi Jinping was here in the Bay Area to meet with Biden. Yellen, welcome Xi at the plane. Maybe she's selling some treasuries. I don't know. That's what the press said. We're like some sort of piss-pore company that's selling us junk bonds. I mean, the second that she gets off the plane, she's walking our shitty bonds. Wow, listen, everybody's raising a fund right now. You know, fundraising is hard."
"They had a big auction on, what was it, 10 and 30-year bonds?","The 30-year bond bid was not really there. And so they got to get buyers in the market. They got to go get the change. And Xi's coming to raise money apparently too. She's here. Everybody's having a hard time raising right now. Pretty crazy. But Chimoth, you and I tweeted about this clip where Xi Jinping said that he's basically for peace and that we have to work together. Let me just start there with you, Chimoth, so we can get through this quickly."
Do you take him out his word?,"There were cynical people saying like, hey, he's just desperate, needs more trade, needs more business."
How do you interpret Xi's peace pipe here and his dinner with a bunch of executives last night?,"I think he's pragmatic. He's somebody that wants to not just rule over China, but he wants to do it for the rest of his life and he wants to do a good job. And I've said this many times, China's issues are endemic and pervasive and they're demographic. And so he has huge structural issues that he has to fix in the Chinese economy. And so I think all of this is just about him focusing on his priorities, which makes sense, which is really about domestic policy. There's an enormous real estate issue that has to get sorted out. There is a GDP issue that has to get sorted out. There's a youth unemployment issue that has to get sorted out. And then there's an aging and a birth rate and a replacement issue that has to get sorted out. All of these things are in enormous efforts. And so I think he's pragmatic enough to not also then add foreign misadventures to that play. And I think what you heard was him being very clear about just exactly that."
"Sax, what was your interpretation?","There's so many jumping off points here. You got foreign policy, you got TikTok, fentanyl."
"I mean, there's a long list of issues, but does it feel like we're turning the corner on relations?","Hey, they need us. We need them."
What was your interpretation on all this?,"Well, I think what's going on here is that the administration has its hands full with two wars. We still got this war in Europe over Ukraine, which is going very badly. And now we have a new war in the Middle East that caught them completely by surprise. Recall that literally a week or two before October 7th, you had Jake Sullivan saying that the Middle East has never been more peaceful. So they absolutely did not anticipate what was coming. And now we have half of our carrier groups in the Middle East positioned there in cases, blows up into a wider regional war. So I think the simple fact of the matter is that the Biden administration, this is more than they can handle. Or let's put this way, they're trying to put the China compete on hold. They're trying to put it on ice while they figure out a way to rescue this losing effort in Ukraine and to prevent the situation in the Middle East from swirling out of control. It's just too much for them. They don't have the bandwidth to deal with a war or conflict breaking out in the Asia Pacific. So I think that's the Biden administration's motivation here is they're seeking to ease tensions because they're just too bandwidth constrained to deal with it. By the same token, I think Chamath is right that she realizes that he's got his hands full with domestic economic problems. He doesn't need a ratcheting up of tensions with the United States right now. And I would also add that on foreign policy, I think what you're seeing in his remarks is a return to the foreign away from this kind of Wolf Warrior diplomacy that they had going on a few years ago where they were kind of saying these very bellicose things and they're kind of flexing their muscles in the Asia Pacific region. That really backfired on them because it raised the hackles of all those other Asian countries and it was making it too easy for the United States to form a containment alliance against China. So he's moving away from that type of Wolf Warrior rhetoric that got them nowhere and he's moved back to the rhetoric of a Deng Xiaoping who said that China's policy should be to buy its time and hide its light under a bushel. In other words, just get stronger and stronger. Don't let people get wise to how strong you are and then when the time is right, you will flex your muscles, but just keep getting stronger. And I think he's returned to that policy and you saw this with the Belt and Road Conference that in Beijing just a few weeks ago where you saw countries like Vietnam participating and I think that China, their strategy is now to try to use some honey to catch some flies as opposed to using this kind of bellicose rhetoric. And saber rattling and if we look at this chart, I think this chart speaks volumes, Friedberg, foreign investment into China has absolutely fallen off a cliff in the decoupling, the saber rattling and other countries looking to have resiliency and not be dependent on China has obviously blown up in his lap."
What are your thoughts on foreign trade and our business relationship with China and their relationship with the West and the rest of the world?,"This used to be a thing to do to make money and then it became a question mark of whether you can make money a couple years ago. And now as of this year, I would argue you are a pariah if you were trying to invest in China or do any business in China, it's almost like you can't do business with the enemy. That's the tone shift that I think accelerated in the last 24 months. And as that tone shift happened in the business community and the investment community, it obviously escalated the tenor of what does the broader relationship look like that I think catalyzed, hey, we got to simmer things down because we can't really afford to deal with that escalation right now."
"But I don't know, I mentioned this to you guys, I was at a conference this past summer, the summer of 22, it was like, Hey, maybe, you know, when are things going to get bad with China?","To this summer, it's like, if you were doing business in China, you're trying to pick up pennies in front of a freight train, like you're going to get run over. And it happened in one year, that was my observation, it was like this crazy shift. And I could tell from the tone of what everyone is saying on stage, it was like universal. There wasn't anyone that disagreed. And similarly, as you guys know, we've heard this from both political parties in the US, it suddenly became the new new thing for Democrats and Republicans to denounce China, denounce investing in China, denounce doing business with China. But too much too fast, I would argue, has led to an observation of the consequences to deeply coupled economic partner to the United States. China is the largest buyer of US agricultural exports, $200 billion a year of farm products that we make get shipped out to China. China is a major supplier to our electronics industry. We don't need to recount all the relationships, but trying to decouple too quickly, trying to call China the enemy too fast, I think has led to a realization that that's not really a tenable. So I would argue that maybe this week has been a moment, I don't know if it really changes the long term trajectory, but it seems like it's certainly a very important and critical pause in the escalation. One thing I wanted to comment, I think one of the biggest winners this week, I'd love your point of view on this guys is like Gavin Newsom. I mean, he was all over this week, like he was at the playing greeting G cleaned up San Francisco. I mean, he got a shout out from the president. He was at the dinner. I mean, do you guys think like Gavin is, you know, gonna be there when Joe says, I'll see you later. I'm not going to run again. And the new year when I spoke."
"Yeah, what's happening here?","It's all just a big coincidence. He actually went on stage in San Francisco, made all those comments about the city should be cleaned up and we haven't been doing it. We could have the whole time is very honest about it. It's not quite what he said. Yeah."
Quasi?,"No, I don't think he did own it. He gave these really weird remarks about how there are some people are saying that we're only cleaning up San Francisco because there's these fancy people here. That was such a weird term as well. It's true because it's true. And it's true. But yeah, it was like he was headed in one direction and then realized he was making mistake, but couldn't quite figure out what to do about it. Let's pull it up. Let's pull it up. It's good. Yeah, here, play it. They're just cleaning up this place because all those fancy leaders are coming into town. That's true because it's true. What he's basically doing there is admitting that he as the governor has the power to snap his fingers and wave his magic wand and clean up the streets of San Francisco. And that is completely different than what he's been telling us for years. For years, he's been maintaining that the problem of homelessness in California is owned by local officials or by judges or by somehow by the system itself. And it's too complex and is beyond his power to simply do something about it. But he just admitted that in fact, he does have the power to do something about it. In fact, he is the boss of a one-party state. And all he had to do was snap his fingers and make this homeless problem go away. And he's willing to do that for Xi Jinping. He's willing to do that for Dreamforce. He's willing to do that for the Super Bowl, but he is not willing to do that for the ordinary citizens of San Francisco. And I think that ultimately is going to be a huge vulnerability. What he should have said here is it's true that we cleaned up the city to represent ourselves well for these foreign leaders who are coming in. But the truth of it is that we should be doing this every day. And here's my agenda for fixing it, point one, two, three. And if we could get everyone on board with this agenda, we could fix this problem. But that's not what he said. What he basically communicated was that I can solve this problem anytime, but I don't give a shit about you, ordinary citizens. We only do this for the fancy people."
"Tramoth, any reaction to that?","He's auditioning. I mean, I think that much is clear. Again, I would just say it's you can't just go to China and meet with Xi Jinping. So that has to be endorsed. It's negotiated. It's enabled. You go there with talking points. You go there in discussion with state and treasury and the rest of the federal bureaucracy behind you. So that was a clear audition of some kind. And I think it was obvious that they wanted the APEX summit to be the backdrop of a Biden G meeting. And so you're doubling down on California. So I think it's kind of like a dry run here is what I would say. I mean, I'm not sure that it's, I don't know what for. It definitely made him look presidential. And I think you're right that when he went to China a few weeks ago to invite Xi to the summit, that was clearly sanctioned by Gaby, by Blinken, by Sullivan. Of course. But again, the reason why they sanctioned that is because they really want to ease tensions with China right now, given how full their hands are with the Middle East right now and with you. No, no, no. I'm not debating that. I think that that makes all the sense in the world. I think that you could have sent any number of, well, not any number, but one of three cabinet secretaries and it would have been just as appropriate. I think sending the governor, I think was a little bit of a, it was a test."
Can he perform?,"And I think he did a good job there. He helped himself. I mean, he hurt himself with the, it's true because it's true, but he helped himself in terms of the optics of a caring person."
Can I say it though?,"I think he did look presidential in China. And I actually, that was the first time where I thought Gavin was really being a normal person because he actually told the truth. He's like, yeah, this state is a, at its best, no, but this state at its best is a center of innovation in the future. And at its worst, it's where every bad progressive idea goes to die."
"But wait, he said that?","No, no, no. I'm saying that. I'm saying San Francisco embodies both of those two things. On one day, it's full of people on crystal meth and fentanyl. On the second day, it's the open AI dev day. Yeah. Within a block of each other. So I think, and I think he just admitted, but imagine if he said something like that, that would make him so much more real. Well, maybe he's trying to find his voice. I think his tone has shifted a bit. I don't know. That's what I'm saying. It felt like in seeing some of the talks he gave this week and his positioning and where he was sitting, it was, he looks like very legit. I definitely, I definitely will say that the Gavin Newsom of three years ago was a little bit smarmy and more of like a political insider. The Gavin Newsom of like the last week, and particularly even just that comment to me, David, was actually being honest. And I think that that's a more viable path if they decide to give him the candidacy, which I think is a really good observation because he could just come out and say, listen, we tried a bunch of things, we had good intent, it didn't work, and now we're reversing them. But Biden did say that he would possibly be running for his job. I want to thank Gavin Newsom, want to thank him. He's been one hell of a governor, man. Matter of fact, he could be anything he wants. He could have the job I'm looking for. That was, I don't know if you guys heard that quote from Biden. Biden said that last night. So I guess conspiracy, let's put our tin foil, tin foil hack corner time, sax your favorite percentage chance Biden runs or drops out, whichever way you want to do it."
Anybody have some tea leaves?,"I still think there's about a 70% chance that Biden runs. Okay, so 30% chance doesn't. He's not going to voluntarily retire. The party apparatus, whoever is behind the scenes pulling the strings, the Wizard of Oz is going to have to go, the party elders, they have to go to him at a certain point and say, sorry, this is just not going to work and we're not there yet."
"Okay, Chamath, what do you think?",I'm curious. I think David's here. The leaders and the powers that be will not make that call right now. I don't think it's time yet.
"Freiberg, you got to take?","I don't know. I think speculation, I really don't know. Okay. Hey, Chamath, one question here just on markets. Hundreds of billions of dollars not being invested in China on that chart for investments."
Any thoughts on where that's going?,"He's just sitting in a couch. I think it's being invested in other geographies. We talked about it last week with Jared Kushner. But if you look at just the ton of cash and cash equivalents, I think it just speaks to how everybody's just a little bit on the sidelines waiting to go, waiting for the green light, which you saw CPI this week, by the way. We talked about it last week, which is that it looked like CPI is turning over. Now, the consensus forecast is you're going to see CPI with a low 2% handle by February or March of this year. You're going to see 2.2% CPI or something. Watch out. Watch out as in, hey, markets could come roaring back, maybe not Zerp environment, but could get interesting. All right, listen, we don't want to leave without doing a science corner. Everybody loves science corner. I know DeepMind has been working on many projects, Friedberg. DeepMind, of course, is Google's AI arm. They did go. They did protein folding. Of course, they're doing BARD, but they announced something this week about predicting weather. Tell us about this paper that was released, Friedberg. I think this was pretty exciting. You guys know I used to work in weather when I ran Climacorp. We did a lot of work with weather forecasting and weather modeling. DeepMind published a paper in the journal Science this week introducing GraphCast, which is actually a publicly available model that does weather forecasting using machine learn models. It's a 37 million parameter model. Just to give you a sense how small that is, that model compared to chat GPT, which is like a 1.5 trillion parameters in the chat GPT model. This is only 37 million parameters in this model. The performance that they got out of GraphCast, which they published in the journals, they've made the model available. You can check it out. You can read the paper on how they built the model. They're very open about that. When the model actually forecasts weather over a 10-day period, better than traditional weather forecasting. Let me just talk about how weather forecasting is normally done and what they did differently and why this is such a big breakthrough. Weather forecasting is usually done by chopping up the atmosphere into little cubes, little blocks. The weather is a fluid. It's like a liquid. It's air and moisture being moved around with energy. Normal weather forecasting systems are what are called numerical models. You run physics. You run the formulas for physics on each of those little cells of the atmosphere and figure out how they affect the cell next to them and the cell next to them. You run that cycle forward and you run all these calculations and then you figure out how those cells are going to be different in hours and then in days going forward. These numerical models, basically because they're compute-intensive, they're running actual calculations from physics to model all this stuff, they require a lot of compute power. There are hundreds of variables that are measured and that are output from forecasting models. They're generally run on these very expensive compute clusters. There are two major weather forecasting systems. One is run by ECMWF, which is the European Weather Center and the other one is run by NOAA called GFS here in the US. ECMWF runs on a million cores across 7,700 compute cluster nodes. They spent about $200 million on this compute cluster. The GFS model runs on a 29 petaflop system. So 29 quadrillion floating operations per second. It costs $270 million. And when they run the forecast model using this traditional way of doing things, they're running all these physics calculations on these little small blocks of the atmosphere and perturbing it, fast forward, try and capture as much data out of the model runs as they can. And every six hours, they run the model and there's a new output every six hours. And it costs $1 billion for NOAA to run forecasts every year and disseminate that information. And then all the weather companies you know from Weather Channel and AccuWeather, they're all buying or getting free access to these forecasts that come from these big compute clusters. And that's how all weather forecasting is done. They're actually done primarily by these big centralized government super compute clusters. And then they're made available for everyone to consume. And the more data and the more compute you get, the better the forecasts, the higher the resolution, meaning the more local space you can forecast on the smaller the time scales, meaning you can go from one day forecast to one hour forecast, break it down. And the further out you can be accurate, whether it's five days and then 10 days and so on. So more compute has been the name of the game for many, many years in weather forecasting, the more compute you get, the better the forecasts. So this breakthrough that DeepMind has had is they basically took all the past weather forecast and they built a model that figured out how to take the current weather and the weather from six hours ago, just the data. So the data feeds from today's current weather and weather six hours ago and trained a model that predicted weather for the next 10 days, the same output as you would get from these big expensive numerical models. And they did this using what's called a graph neural network. That's the architecture for the model. A graph neural network is far more complicated than say predicting an image, which is two dimensional pixels next to each other or predicting a text stream, which is one dimensional."
So what's the next word in a sentence?,"So these are a graph neural network is a fairly complicated model. And so they describe all the techniques they used and everything they built in the paper, they were really open about it all. And then they were able to train this model using past, you know, forecasting data going back to the 70s. And then they ran the model, if you pull up these charts. So the first chart that we're going to pull up here basically shows the model's performance graph cast against the big ECMWF model. And what you'll see is that the model across all time scales going out to 10 days is better. And there's a bunch of ways to measure this, primarily what's called root mean square error, which measures the skill of the forecast. So here you can see the black line is the numerical model run by ECMWF, which is the big weather forecast model that most people in the world rely on every day. And the bottom is the machine learn model. And by the way, the entire graph cast model runs in one minute. So you basically input current weather data and you input weather data from six hours ago. And in a minute, you get all the forecasts."
"Whereas currently, it could run on what, like a smartphone or a laptop?","It's not that small, but yeah, I mean, you could run it on a small compute and you could get the results in a minute. And so basically, everyone can now be a weather forecaster. What used to be..."
Is this is the gap between the black and the blue line significant?,"Is that an important... It is significant in two ways. One is first of all, it's better, which is amazing, because researchers have spent billions of dollars and decades trying to make their numerical models better. So the fact that a machine learn model is just simply better is really profound. And the second point is that this machine learn model is only 37 million parameters and can be output in a minute. So you could be running this thing continuously. And you could be... And does this work for weather all around the world or just in a specific... Exactly, all around the world."
"And the second thing that they measured, if you pull up the second graph, was, well, okay, great, you can measure, you can do basic weather forecasting, but are you good at picking up extreme events?","The things that are really outside of the normal distribution curve, the things that we should worry about, like cyclones or extreme heat or atmospheric rivers. And the answer, again, is absolutely yes, that this model trained on this data is better at forecasting extreme weather events. On that bottom left one, is it saying that H.R.S."
"doesn't actually predict cyclone tracking and that graphcast gives you like two, three, four days lead time?","That's just an error difference. Yeah, it's just a measure of delta."
So what's the downstream effectiveness?,People will be able to get out of an area that could have extreme weather or insurance.
"You did climate.com, right?","So you've been in this business for a long time. Yeah, so I think one of the most interesting things is how this is going to change how weather forecasting is done. Again, billions of dollars, there's a big system in Japan, a big system in Europe and a big system in the US that forecast the weather. There's some of the biggest compute clusters in the world. And now you can run it in your home. You can run this model in your home because all the weather data that is the input to the model is available all the time on the internet for free. So we can just take that data and anyone could run it. You could get faster results, more frequent updates, certainly a much lower cost. And I think this is just the beginning of obviously a long road of optimization and iteration that will go from here, where it'll be really amazing to see what else can be done with this model. It totally upends a lot of different business models as well. What's really important also to note, this is an incredible proof point of these graph neural nets. Graph neural nets can be applied in other areas like chemistry, biology, material science, anywhere where you're simulating physics or physical properties or three-dimensional space over time, showing that you can train off data and be better than physical models that just use physics to make a prediction. And you can just have the machine figure out how to do it on its own. And it comes up with this prediction that's better than running physics in a compute cluster. It's really incredible. And I think it'll also, it's a great way to highlight the opportunity for machine learning models being applied to things like chemistry and biology for discovery purposes and other areas over time. I thought it was a great paper, another really incredible proof point by DeepMind."
"I mean, are they going to just throw away those clusters running other models now?","Dude, I'm telling you, like that's redundant. And by the way, talk about accountability."
"So if I'm running the Department of Commerce, which oversees NOAA in the US, I'm like, what are we doing spending a billion dollars a year on this now?","We can just run this thing on a MacBook. So a perfect example of how AI is going to save billions of dollars. This is like an incredibly good point for the government getting more efficient to circle back around to Dean's point earlier in the episode. Okay, this has been an amazing episode for the dictator himself, Jomapah Hapatia. I want a more accurate forecast of the temperature on Uranus. Oh, it was coming in at any moment. Oh man. It depends. Did you have... It's cold and dark. It's cold and dark. Or maybe you had the hot sauce. Anybody knows. All right, listen, and for the Sultan of Science, the day after tomorrow, beautiful, it was a great fun movie. David Friedberg and the Rain Man David Sacks. I'm amongst amongst the world's greatest moderators. Great job for the last two weeks, Friedberg. And this is your favorite podcast. Be all in podcasts. We'll see you all next time. Bye-bye. Oh, also, also, also happy Thanksgiving, everybody. Happy Thanksgiving. Happy Thanksgiving. No episode next week. No episode next week. Happy. You never know. Somebody goes rogue. You know, happy, happy Thanksgiving to everybody. Gobble, gobble. Glad to be thankful. Or make me thankful for your blessings. Gobble. Besties are gone. I'm cold and thirsty. That is my dog taking an issue of driveway sex. Wait, I don't know. Oh man. My appetizer will meet me at what is going on. We should all just get a room and just have one big huge orgy because they're all just useless. It's like this, like, sexual tension that they just need to release somehow."
What?,You're about to be...
What?,You're about to be... Be...
What?,Be... We need to get Merchies back. I'm going all in. I'm going all in.
